,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr
38,39,2011-02-08,1,0,2,0,2,1,1.0,0.220833,0.198246,0.537917,0.36195,64.0,1466.0,1530.0,11.546751826917545
39,40,2011-02-09,1,0,2,0,3,1,2.0,0.134783,0.144283,0.494783,0.188839,53.0,1552.0,1605.0,11.546751826917545
40,41,2011-02-10,1,0,2,0,4,1,1.0,0.144348,0.149548,0.437391,0.221935,47.0,1491.0,1538.0,11.546751826917545
41,42,2011-02-11,1,0,2,0,5,1,1.0,0.189091,0.213509,0.506364,0.10855,149.0,1597.0,1746.0,11.546751826917545
42,43,2011-02-12,1,0,2,0,6,0,1.0,0.2225,0.232954,0.544167,0.203367,288.0,1184.0,1472.0,11.546751826917545
43,44,2011-02-13,1,0,2,0,0,0,1.0,0.316522,0.324113,0.457391,0.260883,397.0,1192.0,1589.0,11.546751826917545
44,45,2011-02-14,1,0,2,0,1,1,1.0,0.415,0.39835,0.375833,0.417908,208.0,1705.0,1913.0,11.546751826917545
45,46,2011-02-15,1,0,2,0,2,1,1.0,0.266087,0.254274,0.314348,0.291374,140.0,1675.0,1815.0,11.546751826917545
46,47,2011-02-16,1,0,2,0,3,1,1.0,0.318261,0.3162,0.423478,0.251791,218.0,1897.0,2115.0,11.546751826917545
47,48,2011-02-17,1,0,2,0,4,1,1.0,0.435833,0.428658,0.505,0.230104,259.0,2216.0,2475.0,11.546751826917545
48,49,2011-02-18,1,0,2,0,5,1,1.0,0.521667,0.511983,0.516667,0.264925,579.0,2348.0,2927.0,11.546751826917545
49,50,2011-02-19,1,0,2,0,6,0,1.0,0.399167,0.391404,0.187917,0.507463,532.0,1103.0,1635.0,11.546751826917545
50,51,2011-02-20,1,0,2,0,0,0,1.0,0.285217,0.27733,0.407826,0.223235,639.0,1173.0,1812.0,11.546751826917545
51,52,2011-02-21,1,0,2,1,1,0,2.0,0.303333,0.284075,0.605,0.307846,195.0,912.0,1107.0,11.546751826917545
52,53,2011-02-22,1,0,2,0,2,1,1.0,0.182222,0.186033,0.577778,0.195683,74.0,1376.0,1450.0,11.546751826917545
53,54,2011-02-23,1,0,2,0,3,1,1.0,0.221739,0.245717,0.423043,0.094113,139.0,1778.0,1917.0,11.546751826917545
54,55,2011-02-24,1,0,2,0,4,1,2.0,0.295652,0.289191,0.697391,0.250496,100.0,1707.0,1807.0,11.546751826917545
55,56,2011-02-25,1,0,2,0,5,1,2.0,0.364348,0.350461,0.712174,0.346539,120.0,1341.0,1461.0,11.546751826917545
56,57,2011-02-26,1,0,2,0,6,0,1.0,0.2825,0.282192,0.537917,0.186571,424.0,1545.0,1969.0,11.546751826917545
57,58,2011-02-27,1,0,2,0,0,0,1.0,0.343478,0.351109,0.68,0.125248,694.0,1708.0,2402.0,11.546751826917545
58,59,2011-02-28,1,0,2,0,1,1,2.0,0.407273,0.400118,0.876364,0.289686,81.0,1365.0,1446.0,11.546751826917545
59,60,2011-03-01,1,0,3,0,2,1,1.0,0.266667,0.263879,0.535,0.216425,137.0,1714.0,1851.0,11.546751826917545
60,61,2011-03-02,1,0,3,0,3,1,1.0,0.335,0.320071,0.449583,0.307833,231.0,1903.0,2134.0,11.546751826917545
61,62,2011-03-03,1,0,3,0,4,1,1.0,0.198333,0.200133,0.318333,0.225754,123.0,1562.0,1685.0,11.546751826917545
62,63,2011-03-04,1,0,3,0,5,1,2.0,0.261667,0.255679,0.610417,0.203346,214.0,1730.0,1944.0,11.546751826917545
63,64,2011-03-05,1,0,3,0,6,0,2.0,0.384167,0.378779,0.789167,0.251871,640.0,1437.0,2077.0,11.546751826917545
64,65,2011-03-06,1,0,3,0,0,0,2.0,0.376522,0.366252,0.948261,0.343287,114.0,491.0,605.0,11.546751826917545
65,66,2011-03-07,1,0,3,0,1,1,1.0,0.261739,0.238461,0.551304,0.341352,244.0,1628.0,1872.0,11.546751826917545
66,67,2011-03-08,1,0,3,0,2,1,1.0,0.2925,0.3024,0.420833,0.12065,316.0,1817.0,2133.0,11.546751826917545
67,68,2011-03-09,1,0,3,0,3,1,2.0,0.295833,0.286608,0.775417,0.22015,191.0,1700.0,1891.0,11.546751826917545
68,69,2011-03-10,1,0,3,0,4,1,3.0,0.389091,0.385668,0.63,0.261877,46.0,577.0,623.0,11.546751826917545
69,70,2011-03-11,1,0,3,0,5,1,2.0,0.316522,0.305,0.649565,0.23297,247.0,1730.0,1977.0,11.546751826917545
70,71,2011-03-12,1,0,3,0,6,0,1.0,0.329167,0.32575,0.594583,0.220775,18.0,1408.0,2132.0,11.546751826917545
71,72,2011-03-13,1,0,3,0,0,0,1.0,0.384348,0.380091,0.527391,0.270604,18.0,1435.0,2417.0,11.546751826917545
72,73,2011-03-14,1,0,3,0,1,1,1.0,0.325217,0.332,0.496957,0.136926,359.0,1687.0,2046.0,11.546751826917545
73,74,2011-03-15,1,0,3,0,2,1,2.0,0.317391,0.318178,0.655652,0.184309,289.0,1767.0,2056.0,11.546751826917545
74,75,2011-03-16,1,0,3,0,3,1,2.0,0.365217,0.36693,0.776522,0.203117,321.0,1871.0,2192.0,11.546751826917545
75,76,2011-03-17,1,0,3,0,4,1,1.0,0.415,0.410333,0.602917,0.209579,424.0,2320.0,2744.0,11.546751826917545
76,77,2011-03-18,1,0,3,0,5,1,1.0,0.54,0.527009,0.525217,0.231017,18.0,2355.0,152.0,11.546751826917545
77,78,2011-03-19,1,0,3,0,6,0,1.0,0.4725,0.466525,0.379167,0.368167,18.0,1693.0,3117.0,11.546751826917545
78,79,2011-03-20,1,0,3,0,0,0,1.0,0.3325,0.32575,0.47375,0.207721,18.0,1424.0,2471.0,11.546751826917545
79,80,2011-03-21,2,0,3,0,1,1,2.0,0.430435,0.409735,0.737391,0.288783,401.0,1676.0,2077.0,11.546751826917545
80,81,2011-03-22,2,0,3,0,2,1,1.0,0.441667,0.440642,0.624583,0.22575,460.0,2243.0,2703.0,11.546751826917545
81,82,2011-03-23,2,0,3,0,3,1,2.0,0.346957,0.337939,0.839565,0.234261,203.0,1918.0,2121.0,11.546751826917545
82,83,2011-03-24,2,0,3,0,4,1,2.0,0.285,0.270833,0.805833,0.243787,166.0,1699.0,1865.0,11.546751826917545
83,84,2011-03-25,2,0,3,0,5,1,1.0,0.264167,0.256312,0.495,0.230725,300.0,1910.0,2210.0,11.546751826917545
84,85,2011-03-26,2,0,3,0,6,0,1.0,0.265833,0.257571,0.394167,0.209571,18.0,1515.0,2496.0,11.546751826917545
85,86,2011-03-27,2,0,3,0,0,0,2.0,0.253043,0.250339,0.493913,0.1843,472.0,1221.0,1693.0,11.546751826917545
86,87,2011-03-28,2,0,3,0,1,1,1.0,0.264348,0.257574,0.302174,0.212204,222.0,1806.0,2028.0,11.546751826917545
87,88,2011-03-29,2,0,3,0,2,1,1.0,0.3025,0.292908,0.314167,0.226996,317.0,2108.0,2425.0,11.546751826917545
88,89,2011-03-30,2,0,3,0,3,1,2.0,0.3,0.29735,0.646667,0.172888,168.0,1368.0,1536.0,11.546751826917545
89,90,2011-03-31,2,0,3,0,4,1,3.0,0.268333,0.257575,0.918333,0.217646,179.0,1506.0,1685.0,11.546751826917545
90,91,2011-04-01,2,0,4,0,5,1,2.0,0.3,0.283454,0.68625,0.258708,307.0,1920.0,2227.0,11.546751826917545
91,92,2011-04-02,2,0,4,0,6,0,2.0,0.315,0.315637,0.65375,0.197146,18.0,1354.0,2252.0,11.546751826917545
92,93,2011-04-03,2,0,4,0,0,0,1.0,0.378333,0.378767,0.48,0.182213,18.0,1598.0,152.0,11.546751826917545
93,94,2011-04-04,2,0,4,0,1,1,1.0,0.573333,0.542929,0.42625,0.385571,18.0,2381.0,3115.0,11.546751826917545
94,95,2011-04-05,2,0,4,0,2,1,2.0,0.414167,0.39835,0.642083,0.388067,167.0,1628.0,1795.0,11.546751826917545
95,96,2011-04-06,2,0,4,0,3,1,1.0,0.390833,0.387608,0.470833,0.263063,413.0,2395.0,2808.0,11.546751826917545
96,97,2011-04-07,2,0,4,0,4,1,1.0,0.4375,0.433696,0.602917,0.162312,571.0,2570.0,3141.0,11.546751826917545
97,98,2011-04-08,2,0,4,0,5,1,2.0,0.335833,0.324479,0.83625,0.226992,172.0,1299.0,1471.0,11.546751826917545
98,99,2011-04-09,2,0,4,0,6,0,2.0,0.3425,0.341529,0.8775,0.133083,18.0,1576.0,2455.0,11.546751826917545
99,100,2011-04-10,2,0,4,0,0,0,2.0,0.426667,0.426737,0.8575,0.146767,18.0,1707.0,2895.0,11.546751826917545
100,101,2011-04-11,2,0,4,0,1,1,2.0,0.595652,0.565217,0.716956,0.324474,18.0,2493.0,152.0,11.546751826917545
101,102,2011-04-12,2,0,4,0,2,1,2.0,0.5025,0.493054,0.739167,0.274879,257.0,1777.0,2034.0,11.546751826917545
102,103,2011-04-13,2,0,4,0,3,1,2.0,0.4125,0.417283,0.819167,0.250617,209.0,1953.0,2162.0,11.546751826917545
103,104,2011-04-14,2,0,4,0,4,1,1.0,0.4675,0.462742,0.540417,0.1107,529.0,123.0,152.0,11.546751826917545
104,105,2011-04-15,2,0,4,1,5,0,1.0,0.446667,0.441913,0.67125,0.226375,642.0,2484.0,3126.0,11.546751826917545
105,106,2011-04-16,2,0,4,0,6,0,3.0,0.430833,0.425492,0.888333,0.340808,121.0,674.0,795.0,11.546751826917545
106,107,2011-04-17,2,0,4,0,0,0,1.0,0.456667,0.445696,0.479583,0.303496,18.0,2186.0,152.0,11.546751826917545
107,108,2011-04-18,2,0,4,0,1,1,1.0,0.5125,0.503146,0.5425,0.163567,669.0,123.0,152.0,11.546751826917545
108,109,2011-04-19,2,0,4,0,2,1,2.0,0.505833,0.489258,0.665833,0.157971,409.0,123.0,3204.0,11.546751826917545
109,110,2011-04-20,2,0,4,0,3,1,1.0,0.595,0.564392,0.614167,0.241925,613.0,123.0,152.0,11.546751826917545
110,111,2011-04-21,2,0,4,0,4,1,1.0,0.459167,0.453892,0.407083,0.325258,18.0,123.0,152.0,11.546751826917545
111,112,2011-04-22,2,0,4,0,5,1,2.0,0.336667,0.321954,0.729583,0.219521,177.0,1506.0,1683.0,11.546751826917545
112,113,2011-04-23,2,0,4,0,6,0,2.0,0.46,0.450121,0.887917,0.230725,18.0,2574.0,152.0,11.546751826917545
113,114,2011-04-24,2,0,4,0,0,0,2.0,0.581667,0.551763,0.810833,0.192175,18.0,2481.0,152.0,11.546751826917545
114,115,2011-04-25,2,0,4,0,1,1,1.0,0.606667,0.5745,0.776667,0.185333,18.0,123.0,152.0,11.546751826917545
115,116,2011-04-26,2,0,4,0,2,1,1.0,0.631667,0.594083,0.729167,0.3265,678.0,123.0,152.0,11.546751826917545
116,117,2011-04-27,2,0,4,0,3,1,2.0,0.62,0.575142,0.835417,0.3122,547.0,123.0,152.0,11.546751826917545
117,118,2011-04-28,2,0,4,0,4,1,2.0,0.6175,0.578929,0.700833,0.320908,569.0,123.0,152.0,11.546751826917545
118,119,2011-04-29,2,0,4,0,5,1,1.0,0.51,0.497463,0.457083,0.240063,18.0,123.0,152.0,11.546751826917545
119,120,2011-04-30,2,0,4,0,6,0,1.0,0.4725,0.464021,0.503333,0.235075,18.0,123.0,152.0,11.546751826917545
120,121,2011-05-01,2,0,5,0,0,0,2.0,0.451667,0.448204,0.762083,0.106354,18.0,2213.0,152.0,11.546751826917545
121,122,2011-05-02,2,0,5,0,1,1,2.0,0.549167,0.532833,0.73,0.183454,18.0,123.0,152.0,11.546751826917545
122,123,2011-05-03,2,0,5,0,2,1,2.0,0.616667,0.582079,0.697083,0.342667,603.0,123.0,152.0,11.546751826917545
123,124,2011-05-04,2,0,5,0,3,1,2.0,0.414167,0.40465,0.737083,0.328996,255.0,2378.0,2633.0,11.546751826917545
124,125,2011-05-05,2,0,5,0,4,1,1.0,0.459167,0.441917,0.444167,0.295392,614.0,123.0,152.0,11.546751826917545
125,126,2011-05-06,2,0,5,0,5,1,1.0,0.479167,0.474117,0.59,0.228246,18.0,123.0,152.0,11.546751826917545
126,127,2011-05-07,2,0,5,0,6,0,1.0,0.52,0.512621,0.54125,0.16045,18.0,123.0,152.0,11.546751826917545
127,128,2011-05-08,2,0,5,0,0,0,1.0,0.528333,0.518933,0.631667,0.0746375,18.0,123.0,152.0,11.546751826917545
128,129,2011-05-09,2,0,5,0,1,1,1.0,0.5325,0.525246,0.58875,0.176,664.0,123.0,152.0,11.546751826917545
129,130,2011-05-10,2,0,5,0,2,1,1.0,0.5325,0.522721,0.489167,0.115671,694.0,123.0,152.0,11.546751826917545
130,131,2011-05-11,2,0,5,0,3,1,1.0,0.5425,0.5284,0.632917,0.120642,550.0,123.0,152.0,11.546751826917545
131,132,2011-05-12,2,0,5,0,4,1,1.0,0.535,0.523363,0.7475,0.189667,695.0,123.0,152.0,11.546751826917545
132,133,2011-05-13,2,0,5,0,5,1,2.0,0.5125,0.4943,0.863333,0.179725,692.0,123.0,152.0,11.546751826917545
133,134,2011-05-14,2,0,5,0,6,0,2.0,0.520833,0.500629,0.9225,0.13495,18.0,2507.0,152.0,11.546751826917545
134,135,2011-05-15,2,0,5,0,0,0,2.0,0.5625,0.536,0.867083,0.152979,18.0,123.0,152.0,11.546751826917545
135,136,2011-05-16,2,0,5,0,1,1,1.0,0.5775,0.550512,0.787917,0.126871,18.0,123.0,152.0,11.546751826917545
136,137,2011-05-17,2,0,5,0,2,1,2.0,0.561667,0.538529,0.837917,0.277354,678.0,123.0,152.0,11.546751826917545
137,138,2011-05-18,2,0,5,0,3,1,2.0,0.55,0.527158,0.87,0.201492,536.0,123.0,152.0,11.546751826917545
138,139,2011-05-19,2,0,5,0,4,1,2.0,0.530833,0.510742,0.829583,0.108213,18.0,123.0,152.0,11.546751826917545
139,140,2011-05-20,2,0,5,0,5,1,1.0,0.536667,0.529042,0.719583,0.125013,18.0,123.0,152.0,11.546751826917545
140,141,2011-05-21,2,0,5,0,6,0,1.0,0.6025,0.571975,0.626667,0.12065,18.0,123.0,152.0,11.546751826917545
141,142,2011-05-22,2,0,5,0,0,0,1.0,0.604167,0.5745,0.749583,0.148008,18.0,123.0,152.0,11.546751826917545
142,143,2011-05-23,2,0,5,0,1,1,2.0,0.631667,0.590296,0.81,0.233842,18.0,123.0,152.0,11.546751826917545
143,144,2011-05-24,2,0,5,0,2,1,2.0,0.66,0.604813,0.740833,0.207092,659.0,123.0,152.0,11.546751826917545
144,145,2011-05-25,2,0,5,0,3,1,1.0,0.660833,0.615542,0.69625,0.154233,18.0,123.0,152.0,11.546751826917545
145,146,2011-05-26,2,0,5,0,4,1,1.0,0.708333,0.654688,0.6775,0.199642,18.0,123.0,152.0,11.546751826917545
146,147,2011-05-27,2,0,5,0,5,1,1.0,0.681667,0.637008,0.65375,0.240679,18.0,123.0,152.0,11.546751826917545
147,148,2011-05-28,2,0,5,0,6,0,1.0,0.655833,0.612379,0.729583,0.230092,18.0,123.0,152.0,11.546751826917545
148,149,2011-05-29,2,0,5,0,0,0,1.0,0.6675,0.61555,0.81875,0.213938,18.0,2433.0,152.0,11.546751826917545
149,150,2011-05-30,2,0,5,1,1,0,1.0,0.733333,0.671092,0.685,0.131225,18.0,2549.0,152.0,11.546751826917545
150,151,2011-05-31,2,0,5,0,2,1,1.0,0.775,0.725383,0.636667,0.111329,673.0,123.0,152.0,11.546751826917545
151,152,2011-06-01,2,0,6,0,3,1,2.0,0.764167,0.720967,0.677083,0.207092,513.0,123.0,152.0,11.546751826917545
152,153,2011-06-02,2,0,6,0,4,1,1.0,0.715,0.643942,0.305,0.292287,18.0,123.0,152.0,11.546751826917545
153,154,2011-06-03,2,0,6,0,5,1,1.0,0.62,0.587133,0.354167,0.253121,18.0,123.0,152.0,11.546751826917545
154,155,2011-06-04,2,0,6,0,6,0,1.0,0.635,0.594696,0.45625,0.123142,18.0,123.0,152.0,11.546751826917545
155,156,2011-06-05,2,0,6,0,0,0,2.0,0.648333,0.616804,0.6525,0.138692,18.0,123.0,152.0,11.546751826917545
156,157,2011-06-06,2,0,6,0,1,1,1.0,0.678333,0.621858,0.6,0.121896,673.0,123.0,152.0,11.546751826917545
157,158,2011-06-07,2,0,6,0,2,1,1.0,0.7075,0.65595,0.597917,0.187808,18.0,123.0,152.0,11.546751826917545
158,159,2011-06-08,2,0,6,0,3,1,1.0,0.775833,0.727279,0.622083,0.136817,676.0,123.0,152.0,11.546751826917545
159,160,2011-06-09,2,0,6,0,4,1,2.0,0.808333,0.757579,0.568333,0.149883,563.0,123.0,152.0,11.546751826917545
160,161,2011-06-10,2,0,6,0,5,1,1.0,0.755,0.703292,0.605,0.140554,18.0,123.0,152.0,11.546751826917545
161,162,2011-06-11,2,0,6,0,6,0,1.0,0.725,0.678038,0.654583,0.15485,18.0,123.0,152.0,11.546751826917545
162,163,2011-06-12,2,0,6,0,0,0,1.0,0.6925,0.643325,0.747917,0.163567,18.0,123.0,152.0,11.546751826917545
163,164,2011-06-13,2,0,6,0,1,1,1.0,0.635,0.601654,0.494583,0.30535,18.0,123.0,152.0,11.546751826917545
164,165,2011-06-14,2,0,6,0,2,1,1.0,0.604167,0.591546,0.507083,0.269283,18.0,123.0,152.0,11.546751826917545
165,166,2011-06-15,2,0,6,0,3,1,1.0,0.626667,0.587754,0.471667,0.167912,18.0,123.0,152.0,11.546751826917545
166,167,2011-06-16,2,0,6,0,4,1,2.0,0.628333,0.595346,0.688333,0.206471,545.0,123.0,152.0,11.546751826917545
167,168,2011-06-17,2,0,6,0,5,1,1.0,0.649167,0.600383,0.735833,0.143029,18.0,123.0,152.0,11.546751826917545
168,169,2011-06-18,2,0,6,0,6,0,1.0,0.696667,0.643954,0.670417,0.119408,18.0,123.0,152.0,11.546751826917545
169,170,2011-06-19,2,0,6,0,0,0,2.0,0.699167,0.645846,0.666667,0.102,18.0,123.0,152.0,11.546751826917545
170,171,2011-06-20,2,0,6,0,1,1,2.0,0.635,0.595346,0.74625,0.155475,699.0,123.0,152.0,11.546751826917545
171,172,2011-06-21,3,0,6,0,2,1,2.0,0.680833,0.637646,0.770417,0.171025,18.0,123.0,152.0,11.546751826917545
172,173,2011-06-22,3,0,6,0,3,1,1.0,0.733333,0.693829,0.7075,0.172262,661.0,123.0,152.0,11.546751826917545
173,174,2011-06-23,3,0,6,0,4,1,2.0,0.728333,0.693833,0.703333,0.238804,18.0,123.0,152.0,11.546751826917545
174,175,2011-06-24,3,0,6,0,5,1,1.0,0.724167,0.656583,0.573333,0.222025,18.0,123.0,152.0,11.546751826917545
175,176,2011-06-25,3,0,6,0,6,0,1.0,0.695,0.643313,0.483333,0.209571,18.0,123.0,152.0,11.546751826917545
176,177,2011-06-26,3,0,6,0,0,0,1.0,0.68,0.637629,0.513333,0.0945333,18.0,123.0,152.0,11.546751826917545
177,178,2011-06-27,3,0,6,0,1,1,2.0,0.6825,0.637004,0.658333,0.107588,18.0,123.0,152.0,11.546751826917545
178,179,2011-06-28,3,0,6,0,2,1,1.0,0.744167,0.692558,0.634167,0.144283,18.0,123.0,152.0,11.546751826917545
179,180,2011-06-29,3,0,6,0,3,1,1.0,0.728333,0.654688,0.497917,0.261821,18.0,123.0,152.0,11.546751826917545
180,181,2011-06-30,3,0,6,0,4,1,1.0,0.696667,0.637008,0.434167,0.185312,18.0,123.0,152.0,11.546751826917545
181,182,2011-07-01,3,0,7,0,5,1,1.0,0.7225,0.652162,0.39625,0.102608,18.0,123.0,152.0,11.546751826917545
182,183,2011-07-02,3,0,7,0,6,0,1.0,0.738333,0.667308,0.444583,0.115062,18.0,123.0,152.0,11.546751826917545
183,184,2011-07-03,3,0,7,0,0,0,2.0,0.716667,0.668575,0.6825,0.228858,18.0,2367.0,152.0,11.546751826917545
184,185,2011-07-04,3,0,7,1,1,0,2.0,0.726667,0.665417,0.637917,0.0814792,18.0,123.0,152.0,11.546751826917545
185,186,2011-07-05,3,0,7,0,2,1,1.0,0.746667,0.696338,0.590417,0.126258,18.0,123.0,152.0,11.546751826917545
186,187,2011-07-06,3,0,7,0,3,1,1.0,0.72,0.685633,0.743333,0.149883,18.0,123.0,152.0,11.546751826917545
187,188,2011-07-07,3,0,7,0,4,1,1.0,0.75,0.686871,0.65125,0.1592,18.0,123.0,152.0,11.546751826917545
188,189,2011-07-08,3,0,7,0,5,1,2.0,0.709167,0.670483,0.757917,0.225129,692.0,123.0,152.0,11.546751826917545
189,190,2011-07-09,3,0,7,0,6,0,1.0,0.733333,0.664158,0.609167,0.167912,18.0,123.0,152.0,11.546751826917545
190,191,2011-07-10,3,0,7,0,0,0,1.0,0.7475,0.690025,0.578333,0.183471,18.0,123.0,152.0,11.546751826917545
191,192,2011-07-11,3,0,7,0,1,1,1.0,0.7625,0.729804,0.635833,0.282337,18.0,123.0,152.0,11.546751826917545
192,193,2011-07-12,3,0,7,0,2,1,1.0,0.794167,0.739275,0.559167,0.200254,662.0,123.0,152.0,11.546751826917545
193,194,2011-07-13,3,0,7,0,3,1,1.0,0.746667,0.689404,0.631667,0.146133,18.0,123.0,152.0,11.546751826917545
194,195,2011-07-14,3,0,7,0,4,1,1.0,0.680833,0.635104,0.47625,0.240667,18.0,123.0,152.0,11.546751826917545
195,196,2011-07-15,3,0,7,0,5,1,1.0,0.663333,0.624371,0.59125,0.182833,18.0,123.0,152.0,11.546751826917545
196,197,2011-07-16,3,0,7,0,6,0,1.0,0.686667,0.638263,0.585,0.208342,18.0,123.0,152.0,11.546751826917545
197,198,2011-07-17,3,0,7,0,0,0,1.0,0.719167,0.669833,0.604167,0.245033,18.0,123.0,152.0,11.546751826917545
198,199,2011-07-18,3,0,7,0,1,1,1.0,0.746667,0.703925,0.65125,0.215804,18.0,123.0,152.0,11.546751826917545
199,200,2011-07-19,3,0,7,0,2,1,1.0,0.776667,0.747479,0.650417,0.1306,18.0,123.0,152.0,11.546751826917545
200,201,2011-07-20,3,0,7,0,3,1,1.0,0.768333,0.74685,0.707083,0.113817,644.0,123.0,152.0,11.546751826917545
201,202,2011-07-21,3,0,7,0,4,1,2.0,0.815,0.826371,0.69125,0.222021,632.0,123.0,152.0,11.546751826917545
202,203,2011-07-22,3,0,7,0,5,1,1.0,0.848333,0.840896,0.580417,0.1331,562.0,123.0,152.0,11.546751826917545
203,204,2011-07-23,3,0,7,0,6,0,1.0,0.849167,0.804287,0.5,0.131221,18.0,2298.0,152.0,11.546751826917545
